price,bedrooms,bathrooms,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,AgeOfHouse,,,
215000,3,1,7669,1,0,0,4,1180,0,56,,,
650000,5,3.5,25245,2,0,0,3,2500,1460,27,,,
320000,4,2.75,7500,1,0,0,3,1620,1020,56,,,
247000,3,2,7198,1.5,0,0,3,1270,0,107,,,
320000,4,1.75,11180,1,0,0,4,1760,0,55,,,
255000,5,2.25,8632,1,0,0,3,1030,1030,61,,,
438000,3,1.75,9660,1,0,0,3,1780,0,61,,,
900000,3,2.5,16603,2,0,0,3,3400,0,23,,,
441000,3,2.75,7280,1,0,0,3,1160,750,44,,,
420000,3,2,38332,1,0,0,4,1010,1010,48,,,
370000,3,1.75,7000,1,0,0,3,1180,400,47,,,
269950,2,1.75,7250,1,0,0,5,700,640,74,,,
807100,4,2.5,4499,2,0,0,3,2680,0,24,,,
653000,3,2.5,9750,1,0,0,4,1610,1070,44,,,
371500,3,2,8336,1,0,0,5,1370,0,59,,,
284000,3,1.75,21000,1,0,0,3,1560,0,69,,,
272000,3,1.75,7140,1,0,0,4,1670,490,45,,,
313000,3,1.5,7912,1.5,0,0,3,1340,0,68,,,
917500,4,2.5,35003,2,0,0,3,2570,1310,39,,,
673000,4,2.25,8190,2,0,0,4,2590,0,43,,,
425000,3,2.5,1100,2,0,0,3,820,300,15,,,
399950,5,2.75,5400,1,0,0,3,1320,650,37,,,
385000,3,1,4800,1,0,0,3,1220,0,122,,,
269950,3,1.5,7560,1,0,2,4,1320,630,48,,,
330000,2,1,8220,1,0,0,3,1060,290,74,,,
260000,3,2.5,5797,2,0,0,3,1670,0,35,,,
470000,4,3,5125,1.5,0,0,4,1680,700,98,,,
589000,4,3,9600,2,0,0,5,2440,0,62,,,
163500,2,1.5,3419,2,0,0,3,1050,0,27,,,
835000,4,2.75,13412,2,0,0,3,2140,990,30,,,
1.10E+06,5,3,12850,1,0,2,4,2090,2000,37,,,
269000,4,1.75,10000,1,0,0,4,1100,390,54,,,
560000,3,2.5,8744,2,0,0,3,1900,0,36,,,
615000,4,1,2400,1.5,0,0,4,1330,0,122,,,
585188,3,2.25,10026,1,0,0,3,1430,800,48,,,
305000,3,1.75,9480,1,0,0,3,1220,430,46,,,
166950,3,1,8820,1,0,0,3,1190,0,64,,,
799000,3,2.5,9897,1,0,0,4,2140,0,64,,,
400000,3,2.5,7508,1,0,0,4,1420,760,61,,,
230000,3,1,10228,1,0,0,3,1060,0,75,,,
256883,3,2.5,5025,2,0,0,3,1690,0,20,,,
423000,4,2,6480,1.5,0,0,5,1130,840,103,,,
465000,3,2.5,4084,2,0,0,3,2150,0,16,,,
440000,3,2.5,66211,2,0,0,3,1910,0,26,,,
385000,3,1.75,155073,1,0,0,4,1350,0,54,,,
210000,3,1,11725,1,0,0,4,860,0,80,,,
297000,3,2.5,14952,2,0,0,3,1940,0,29,,,
470000,3,1,5000,1,0,0,3,1010,0,71,,,
226500,3,1.5,7370,1,0,0,4,900,400,47,,,
274250,3,1,8450,1,0,0,4,910,0,61,,,
840000,4,1.75,11010,1,0,0,4,1630,850,57,,,
677900,3,2.5,4587,2,0,0,3,2440,0,13,,,
425000,3,1,5864,1,0,0,3,1010,0,108,,,
180250,2,0.75,9600,1,0,0,3,900,0,82,,,
464000,6,3,3404,2,0,0,3,1600,700,103,,,
320000,4,2.25,7579,2,0,0,3,1550,0,30,,,
625504,3,2.25,1566,2,0,0,3,1060,210,9,,,
592500,4,2.5,12032,1,0,0,3,2240,0,40,,,
465000,3,2.5,17936,2,0,0,3,2714,0,18,,,
477000,4,2.75,6270,2,0,0,3,1720,0,45,,,
280000,2,1,16400,1,0,0,3,850,0,100,,,
1.51E+06,5,3,33474,1,0,3,3,1870,1430,66,,,
445838,3,2.5,5692,2,0,0,3,2250,0,23,,,
1.07E+06,2,2.25,14864,1,0,3,3,1950,1950,76,,,
467000,2,1.5,10800,1,0,0,4,1320,0,76,,,
686000,4,2.5,6440,2,0,0,3,2760,0,24,,,
279950,3,2,9750,1,0,0,3,1350,400,62,,,
527000,4,2.25,19436,2,0,0,3,2330,0,36,,,
325000,3,2.25,16020,1,0,0,4,1780,440,57,,,
328000,3,2.25,8379,2,0,0,3,2020,0,29,,,
390000,3,2.25,7500,1,0,0,5,1250,0,81,,,
479950,2,2,6516,1,0,0,3,1510,0,18,,,
264950,4,2.25,9753,1,0,0,4,1120,600,45,,,
235000,3,1,15246,1,0,0,4,980,450,62,,,
516500,3,2.5,4729,2,0,0,3,1480,0,19,,,
655000,2,1.75,15798,2,1,4,3,1230,220,108,,,
500000,4,2.75,15347,1,0,0,5,2280,0,63,,,
315000,6,2.75,7350,1,0,0,3,1780,1160,45,,,
213000,2,1,10200,1,0,0,3,1000,0,62,,,
475000,3,1.5,5280,1.5,0,0,5,1620,860,76,,,
1.03E+06,5,4,28040,2,0,0,3,3760,0,40,,,
416000,3,2,94300,1,0,0,5,1640,580,47,,,
410000,4,1,4740,1.5,0,0,3,1670,300,119,,,
800000,3,3.5,221284,2,0,0,3,3530,300,30,,,
472000,6,2.5,14034,1,0,2,4,2350,2060,58,,,
225000,3,1.75,8505,1,0,0,4,1430,0,55,,,
210000,2,1,6000,1,0,0,3,830,0,83,,,
455000,2,1,5000,1.5,0,0,2,1430,0,98,,,
225000,3,1,8316,1,0,0,4,1300,0,69,,,
480000,2,1,3060,1,0,2,4,790,240,105,,,
363000,3,2.5,11872,2,0,0,3,2740,0,33,,,
2.40E+06,4,2.5,8354,1,1,4,3,1830,1820,23,,,
181000,2,1.5,5120,1,0,0,3,720,0,69,,,
250000,4,2,7312,1,0,0,4,2010,0,47,,,
481000,3,1.75,3000,1,0,0,4,770,790,105,,,
260000,3,2,7209,1,0,0,4,1240,570,45,,,
455000,4,2.5,7685,2,0,0,3,3360,0,22,,,
415000,3,2.25,36224,2,0,0,3,1510,0,32,,,
349500,3,1,3538,1,0,0,3,800,600,70,,,
245000,3,2.5,7442,2,0,0,3,1730,0,36,,,
592500,2,2,9191,1.5,0,2,5,1420,0,95,,,
385000,4,1.75,7620,1,0,0,4,1180,1180,68,,,
315000,3,1.75,11455,1,0,0,4,1200,380,49,,,
255000,3,1,10170,1,0,0,3,1230,0,44,,,
693000,4,2.5,4425,2,0,0,3,2460,0,17,,,
780000,3,1,4400,1.5,0,0,3,1460,200,112,,,
237000,3,1.75,8470,1,0,0,4,1270,0,63,,,
525000,3,2.25,40510,2,0,0,3,1320,780,44,,,
425000,2,1,5040,1,0,0,3,770,0,93,,,
369900,1,0.75,10079,1,1,4,5,760,0,87,,,
290000,4,2.5,7280,2,0,0,4,1700,0,35,,,
285000,3,1,10701,1,0,0,3,1120,0,69,,,
415000,2,1,4500,1,0,0,3,1070,0,86,,,
272500,3,2.5,9900,1,0,0,3,1420,650,44,,,
2.90E+06,4,3.25,20100,1.5,0,2,3,4750,300,41,,,
1.37E+06,4,4.75,57346,2,0,0,4,5310,0,34,,,
436000,2,1,7538,1,0,0,4,1040,0,84,,,
210000,3,1,11390,1,0,0,4,1700,0,56,,,
236000,3,1,5898,1,0,0,3,1300,0,62,,,
331000,3,1.75,1306,1,0,0,3,580,500,69,,,
365000,3,2.5,4510,2,0,0,3,2653,0,17,,,
450000,3,2,16258,1,0,0,5,2290,0,63,,,
770000,4,2.75,26300,2,0,0,3,2850,970,9,,,
455000,4,2.5,49375,1,0,0,3,2210,0,26,,,
405000,3,1.75,6000,1,0,0,3,1240,1150,115,,,
304900,4,1.75,11325,1,0,0,4,1610,990,54,,,
170000,2,1,5265,1,0,0,3,860,0,92,,,
2.05E+06,5,3,8480,2,0,1,5,2630,1200,118,,,
780000,4,2.5,7048,2,0,0,3,3500,0,18,,,
330000,3,3,13959,1,0,0,4,1740,680,35,,,
370000,4,2.5,8666,2,0,0,3,2720,0,31,,,
467000,5,2.25,13500,1,0,0,3,1850,650,44,,,
405000,3,1.75,6720,1,0,0,3,1140,530,43,,,
675000,5,2.25,10300,1,0,0,3,1450,1450,38,,,
500000,2,1,14100,1,0,0,4,1140,500,69,,,
389999,4,2.5,15770,2,0,0,4,1890,0,55,,,
630000,4,1.75,9025,1,0,2,4,1780,1170,48,,,
360000,4,2.5,9528,2,0,0,3,2160,0,31,,,
580000,4,3,11060,2,0,0,3,2270,1010,37,,,
550000,3,2,4166,2,0,3,5,1270,700,94,,,
879000,4,2.5,22111,2,0,0,3,3360,0,29,,,
265000,3,2,8959,1,0,0,3,1320,0,30,,,
446500,3,2.5,7286,2,0,0,3,2650,0,33,,,
404000,3,1.5,8880,1,0,0,3,1330,700,60,,,
267500,3,1.75,11914,1,0,2,3,1090,500,66,,,
3.08E+06,4,5,18641,1,1,4,3,2600,1950,21,,,
335000,3,2.5,7632,2,0,0,3,2440,0,25,,,
576000,3,2.5,9000,1,0,0,4,970,970,75,,,
208633,3,2.5,3810,2,0,0,3,2040,0,17,,,
315000,3,2.25,8750,1,0,0,4,1120,1080,59,,,
725000,3,1.75,3300,1,0,0,4,960,960,110,,,
550000,4,2.75,7750,1,0,0,4,1400,400,58,,,
610750,4,2.25,7297,2,0,0,3,2180,0,39,,,
550700,2,1,5000,1.5,0,0,4,1010,0,115,,,
665000,4,2.75,10574,2,0,0,5,2220,1100,63,,,
834000,4,2.5,4000,1.5,0,2,5,1980,390,95,,,
201000,5,1.75,78408,1.5,0,0,3,1660,0,108,,,
2.38E+06,5,2.5,9050,2,0,4,5,3370,280,102,,,
1.38E+06,4,3.25,12103,1,0,3,3,2690,1600,26,,,
1.40E+06,4,3.25,12103,1,0,3,3,2690,1600,26,,,
305000,4,2.25,7700,1,0,0,3,1350,600,44,,,
487000,3,2,14052,1,0,0,5,1720,870,75,,,
390000,3,2.5,64904,1,0,0,4,1930,0,35,,,
548000,2,1,3864,1,0,0,4,1170,300,107,,,
268750,4,1,8775,1,0,0,3,800,0,80,,,
819900,5,2.75,7119,2,0,0,3,3150,0,10,,,
520000,3,2.25,16200,2,0,0,3,2030,0,39,,,
230000,3,2,11204,1,0,0,3,1450,0,20,,,
240000,3,1.75,10248,1,0,0,3,1510,0,54,,,
232000,2,1,12092,1,0,0,3,960,280,101,,,
240500,2,1,12092,1,0,0,3,960,280,101,,,
274975,3,2.5,45004,2,0,0,3,3030,0,36,,,
740000,4,2,4400,1.5,0,0,4,2050,0,101,,,
186375,3,1,7636,1,0,0,2,1000,0,71,,,
790000,3,2.25,10289,1,0,0,4,1590,780,46,,,
880000,4,3.5,6750,2,0,0,3,1890,910,72,,,
279000,6,1.75,11180,2,0,0,4,2240,0,68,,,
295000,3,2,10530,1,0,2,3,1810,0,32,,,
640000,2,1,5000,1,0,0,3,1070,0,99,,,
940000,4,2,9525,2,0,0,5,2490,0,55,,,
260000,4,2.5,5238,2,0,0,3,1960,0,20,,,
559900,3,2.75,5569,1,0,0,3,1860,1070,19,,,
791500,4,2,3500,1.5,0,0,5,1510,0,112,,,
265000,3,1.75,8250,1,0,0,3,1420,0,69,,,
245000,3,1.75,11547,1,0,0,3,1740,0,69,,,
485000,4,1.75,43995,2,0,0,4,2560,0,61,,,
684000,4,3.5,8414,2,0,0,3,2420,620,13,,,
425000,3,1.75,6840,1,0,0,3,1300,1200,66,,,
309600,4,1.75,20000,1,0,0,4,1275,0,32,,,
552250,4,2.5,5823,2,0,0,3,2580,0,21,,,
165000,4,1,7134,1,0,0,3,1000,0,80,,,
239900,4,1,7134,1,0,0,3,1000,0,80,,,
320000,2,1,32633,1,0,0,4,1070,0,93,,,
206600,3,2,13464,1,0,0,4,1390,0,36,,,
387000,4,1.75,7690,1,0,0,3,1250,1250,50,,,
299000,1,0.75,12120,1,0,0,3,560,0,56,,,
855000,4,2.75,10460,2,0,0,3,2270,0,58,,,
315000,3,1,14400,1,0,0,4,1300,600,69,,,
437500,2,1,3120,1,0,2,5,790,200,116,,,
252000,4,1.5,19800,1,0,0,4,1050,500,54,,,
375000,4,1.75,7475,1,0,0,5,1100,1100,68,,,
300000,4,2.5,4862,2,0,0,3,1910,0,18,,,
420000,4,1,9600,1.5,0,0,4,1750,0,69,,,
900000,3,1,77972,1,0,0,3,1330,0,95,,,
679900,3,2.5,5750,2,0,2,3,1980,460,23,,,
463000,3,2.5,29970,2,0,0,3,1640,0,31,,,
380000,5,2.5,11340,2,0,0,4,2760,0,45,,,
329500,4,2.5,7912,2,0,0,3,1820,0,29,,,
604950,3,2.5,5608,1,0,0,3,1340,770,10,,,
795000,5,2.5,9570,1,0,2,4,1640,1400,57,,,
465000,3,2,40438,2,0,0,3,1840,0,29,,,
673000,4,2.5,10400,2,0,0,3,2990,0,21,,,
810000,4,2.5,15420,2,0,0,3,3520,0,32,,,
785000,4,2.75,69415,1,0,0,4,1910,530,34,,,
338000,4,3,7500,1,0,0,3,1370,720,37,,,
280000,3,2.25,7222,2,0,0,3,1430,0,30,,,
315000,4,2.25,10754,1,0,0,5,1100,1080,69,,,
530000,4,2.25,10754,1,0,0,5,1100,1080,69,,,
380000,5,3,9914,2,0,0,3,3450,0,19,,,
297000,3,2.25,7562,2,0,0,3,1450,0,29,,,
730000,4,2.5,7331,2,0,0,3,3230,0,19,,,
450000,3,1.75,13500,1,0,0,3,1110,530,83,,,
275000,3,3,7750,1,0,0,3,1060,530,26,,,
595000,4,2,2849,2,0,0,3,2020,0,63,,,
435000,3,1.5,3348,1.5,0,0,3,1300,0,119,,,
270000,2,1.5,209959,1,0,0,1,1380,0,69,,,
950000,3,3,14338,2,0,0,3,3030,1010,37,,,
389000,4,2.25,5337,2,0,0,3,2130,0,22,,,
560000,4,2.25,7800,1,0,0,3,1580,970,55,,,
1.35E+06,5,3.5,14984,2,0,2,3,3480,1320,25,,,
799000,4,2.25,11585,2,0,0,4,2510,0,54,,,
365500,3,2,9600,1,0,0,4,1410,0,40,,,
252350,3,2,7352,1,0,0,3,1160,490,44,,,
403950,4,2.5,13780,2,0,0,3,2120,0,30,,,
385000,4,1.5,10726,1,0,0,3,1380,660,69,,,
345000,4,1,7620,1.5,0,0,3,1550,0,66,,,
490000,3,2.75,3128,2,0,0,4,1980,0,44,,,
330000,3,2.5,26977,2,0,0,3,1600,0,18,,,
927000,4,2.75,12090,2,0,0,3,3300,0,70,,,
1.12E+06,4,2.5,16619,2,0,1,4,3840,0,40,,,
330000,2,1,10000,1,0,0,5,1220,0,73,,,
530000,5,2.25,8800,1,0,0,4,1500,1220,65,,,
365000,4,2,25600,1,0,0,1,1940,0,61,,,
378750,3,2.5,3000,1.5,0,0,3,1260,900,114,,,
269900,4,1.75,8750,1.5,0,0,4,1530,0,55,,,
557000,3,3.5,2096,2,0,0,3,1290,420,15,,,
360000,4,1.75,16980,1,0,0,4,2150,1580,49,,,
352000,2,1,5000,1,0,0,4,940,0,86,,,
437000,3,2.5,22357,2,0,0,3,1750,0,29,,,
322500,4,2.5,6753,2,0,0,3,1820,0,29,,,
650000,3,3.25,2000,2,0,0,3,1330,180,22,,,
450000,3,2,1213,3,0,0,3,1290,0,22,,,
278500,3,2,5250,1,0,0,3,1570,0,25,,,
364950,4,2.5,6957,2,0,0,3,1930,0,28,,,
840000,4,3.5,40139,1,0,4,4,2840,0,37,,,
268000,3,2.5,8134,2,0,0,3,1550,0,32,,,
517534,2,1,143947,1,0,0,3,833,0,17,,,
632925,3,2.5,32239,2,0,0,4,2990,0,45,,,
577500,3,2.5,7251,2,0,0,3,2000,0,28,,,
339000,4,1.5,7480,1.5,0,2,3,2390,0,103,,,
570000,3,1.75,37461,1,0,0,4,1530,1380,56,,,
563500,4,1.75,174240,1,0,0,3,1610,475,59,,,
423000,4,2.25,9351,1,0,0,5,1290,910,61,,,
355000,3,2.25,5028,2,0,0,3,1860,0,11,,,
1.55E+06,5,4.25,171626,2,0,0,3,6070,0,24,,,
482000,2,1,3960,1,0,0,3,950,0,82,,,
625000,3,1.75,9135,1,0,0,5,1600,0,68,,,
538000,3,2.5,11632,2,0,0,3,2250,0,35,,,
380000,3,2.5,10255,2,0,0,4,2280,0,38,,,
375000,2,1,5120,1,0,0,3,940,0,114,,,
245000,3,2.5,8500,1,0,0,5,1030,500,27,,,
310000,5,1.75,27260,1,0,0,4,2190,0,76,,,
1.30E+06,3,2,15021,1,0,0,4,1770,580,47,,,
397000,4,2,7680,1,0,0,3,1200,240,52,,,
365000,3,2.5,4052,2,0,0,3,2200,0,18,,,
328500,4,3,8250,2,0,0,3,2290,0,33,,,
988000,4,3,19700,2,0,0,3,4040,0,36,,,
1.00E+06,4,2.5,3277,1.5,0,0,5,1920,690,101,,,
237000,3,2.5,2138,2,0,0,3,1490,0,18,,,
525000,4,2.5,5280,2,0,0,3,2450,0,20,,,
749000,4,2.5,9627,1,0,0,3,1440,270,47,,,
722500,5,2.5,11800,2,0,0,3,3470,1400,40,,,
843000,3,2.5,8750,2,0,0,3,3130,0,32,,,
438000,2,2,1372,3,0,0,3,1270,0,23,,,
578000,3,1.75,10875,1,0,2,3,1540,580,46,,,
227950,3,1.5,8230,1,0,0,5,1670,0,69,,,
196000,3,2.25,11576,2,0,0,3,2070,0,49,,,
641000,2,1,5332,1,0,0,3,1070,350,70,,,
350000,3,1.5,219978,1,0,0,4,1250,0,43,,,
205000,3,1,7980,1,0,0,4,940,0,63,,,
400000,3,1.75,9102,1,0,0,3,1920,0,55,,,
1.03E+06,3,2.5,9816,1,0,0,3,2610,935,18,,,
505000,3,2,5460,1,0,0,3,1260,0,51,,,
475000,5,2.5,7200,1,0,0,3,1300,1040,48,,,
520000,3,2.25,9263,1,0,0,5,1440,1150,46,,,
1.45E+06,3,4.5,24920,2,0,2,3,3260,710,46,,,
333500,3,1.75,9732,1,0,0,3,1220,0,58,,,
232000,3,1,10403,1,0,0,4,1400,0,47,,,
691100,3,2.75,16117,1,0,0,4,1710,650,40,,,
811000,3,1.75,9897,1,0,0,4,1870,0,63,,,
551000,3,2.5,5802,2,0,0,3,2830,0,22,,,
496500,3,2.5,3640,2,0,0,3,2260,0,29,,,
705000,3,3,20978,2,1,3,4,1770,200,43,,,
578000,4,2.5,9225,1,0,2,5,1770,1370,57,,,
255000,3,1.75,8659,1,0,0,5,1240,0,37,,,
1.05E+06,4,3.5,7832,2,0,0,3,3450,0,16,,,
348000,3,2.25,8491,2,0,0,4,2570,0,34,,,
230000,3,2,3413,2,0,0,3,1510,0,38,,,
359500,4,2.25,11250,2,0,0,3,2390,0,35,,,
330000,3,1,7000,1,0,0,3,980,0,70,,,
80000,1,0.75,5050,1,0,0,2,430,0,111,,,
