PassengerId,Survived,Pclass,Male,Age,SibSp,Parch,Fare
15,0,3,0,14,0,0,7.8542
40,1,3,0,14,1,0,11.2417
436,1,1,0,14,1,2,120
684,0,3,1,14,5,2,46.9
687,0,3,1,14,4,1,39.6875
112,0,3,0,14.5,1,0,14.4542
23,1,3,0,15,0,0,8.0292
353,0,3,1,15,1,1,7.2292
690,1,1,0,15,0,1,211.3375
831,1,3,0,15,1,0,14.4542
876,1,3,0,15,0,0,7.225
72,0,3,0,16,5,2,46.9
87,0,3,1,16,1,3,34.375
139,0,3,1,16,0,0,9.2167
157,1,3,0,16,0,0,7.7333
209,1,3,0,16,0,0,7.75
221,1,3,1,16,0,0,8.05
267,0,3,1,16,4,1,39.6875
283,0,3,1,16,0,0,9.5
330,1,1,0,16,0,1,57.9792
334,0,3,1,16,2,0,18
505,1,1,0,16,0,0,86.5
575,0,3,1,16,0,0,8.05
747,0,3,1,16,1,1,20.25
765,0,3,1,16,0,0,7.775
792,0,2,1,16,0,0,26
842,0,2,1,16,0,0,10.5
854,1,1,0,16,0,1,39.4
69,1,3,0,17,4,2,7.925
85,1,2,0,17,0,0,10.5
115,0,3,0,17,0,0,14.4583
164,0,3,1,17,0,0,8.6625
308,1,1,0,17,1,0,108.9
390,1,2,0,17,0,0,12
434,0,3,1,17,0,0,7.125
501,0,3,1,17,0,0,8.6625
533,0,3,1,17,1,1,7.2292
551,1,1,1,17,0,2,110.8833
722,0,3,1,17,1,0,7.0542
782,1,1,0,17,1,0,57
845,0,3,1,17,0,0,8.6625
39,0,3,0,18,2,0,18
50,0,3,0,18,1,0,17.8
145,0,2,1,18,0,0,11.5
176,0,3,1,18,1,1,7.8542
205,1,3,1,18,0,0,8.05
229,0,2,1,18,0,0,13
312,1,1,0,18,2,2,262.375
372,0,3,1,18,1,0,6.4958
386,0,2,1,18,0,0,73.5
418,1,2,0,18,0,2,13
425,0,3,1,18,1,1,20.2125
506,0,1,1,18,1,0,108.9
586,1,1,0,18,0,2,79.65
652,1,2,0,18,0,1,23
655,0,3,0,18,0,0,6.75
676,0,3,1,18,0,0,7.775
678,1,3,0,18,0,0,9.8417
689,0,3,1,18,0,0,7.7958
701,1,1,0,18,1,0,227.525
703,0,3,0,18,0,1,14.4542
758,0,2,1,18,0,0,11.5
776,0,3,1,18,0,0,7.75
787,1,3,0,18,0,0,7.4958
808,0,3,0,18,0,0,7.775
835,0,3,1,18,0,0,8.3
856,1,3,0,18,0,1,9.35
28,0,1,1,19,3,2,263
45,1,3,0,19,0,0,7.8792
68,0,3,1,19,0,0,8.1583
137,1,1,0,19,0,2,26.2833
144,0,3,1,19,0,0,6.75
146,0,2,1,19,1,1,36.75
192,0,2,1,19,0,0,13
193,1,3,0,19,1,0,7.8542
227,1,2,1,19,0,0,10.5
239,0,2,1,19,0,0,10.5
284,1,3,1,19,0,0,8.05
292,1,1,0,19,1,0,91.0792
303,0,3,1,19,0,0,0
373,0,3,1,19,0,0,8.05
380,0,3,1,19,0,0,7.775
428,1,2,0,19,0,0,26
547,1,2,0,19,1,0,26
567,0,3,1,19,0,0,7.8958
576,0,3,1,19,0,0,14.5
647,0,3,1,19,0,0,7.8958
688,0,3,1,19,0,0,10.1708
716,0,3,1,19,0,0,7.65
749,0,1,1,19,1,0,53.1
878,0,3,1,19,0,0,7.8958
888,1,1,0,19,0,0,30
13,0,3,1,20,0,0,8.05
92,0,3,1,20,0,0,7.8542
114,0,3,0,20,1,0,9.825
132,0,3,1,20,0,0,7.05
379,0,3,1,20,0,0,4.0125
405,0,3,0,20,0,0,8.6625
442,0,3,1,20,0,0,9.5
623,1,3,1,20,1,1,15.7417
641,0,3,1,20,0,0,7.8542
665,1,3,1,20,1,0,7.925
683,0,3,1,20,0,0,9.225
726,0,3,1,20,0,0,8.6625
763,1,3,1,20,0,0,7.2292
841,0,3,1,20,0,0,7.925
877,0,3,1,20,0,0,9.8458
228,0,3,1,20.5,0,0,7.25
38,0,3,1,21,0,0,8.05
52,0,3,1,21,0,0,7.8
57,1,2,0,21,0,0,10.5
73,0,2,1,21,0,0,73.5
103,0,1,1,21,0,1,77.2875
107,1,3,0,21,0,0,7.65
116,0,3,1,21,0,0,7.925
121,0,2,1,21,2,0,73.5
174,0,3,1,21,0,0,7.925
392,1,3,1,21,0,0,7.7958
403,0,3,0,21,1,0,9.825
409,0,3,1,21,0,0,7.775
422,0,3,1,21,0,0,7.7333
437,0,3,0,21,2,2,34.375
492,0,3,1,21,0,0,7.25
495,0,3,1,21,0,0,8.05
502,0,3,0,21,0,0,7.75
624,0,3,1,21,0,0,7.8542
625,0,3,1,21,0,0,16.1
628,1,1,0,21,0,0,77.9583
653,0,3,1,21,0,0,8.4333
743,1,1,0,21,2,2,262.375
837,0,3,1,21,0,0,8.6625
862,0,2,1,21,1,0,11.5
1,0,3,1,22,1,0,7.25
61,0,3,1,22,0,0,7.2292
81,0,3,1,22,0,0,9
113,0,3,1,22,0,0,8.05
142,1,3,0,22,0,0,7.75
152,1,1,0,22,1,0,66.6
213,0,3,1,22,0,0,7.25
226,0,3,1,22,0,0,9.35
244,0,3,1,22,0,0,7.125
288,0,3,1,22,0,0,7.8958
290,1,3,0,22,0,0,7.75
321,0,3,1,22,0,0,7.25
324,1,2,0,22,1,1,29
357,1,1,0,22,0,1,55
374,0,1,1,22,0,0,135.6333
377,1,3,0,22,0,0,7.25
396,0,3,1,22,0,0,7.7958
475,0,3,0,22,0,0,9.8375
479,0,3,1,22,0,0,7.5208
522,0,3,1,22,0,0,7.8958
540,1,1,0,22,0,2,49.5
554,1,3,1,22,0,0,7.225
555,1,3,0,22,0,0,7.775
589,0,3,1,22,0,0,8.05
609,1,2,0,22,1,2,41.5792
709,1,1,0,22,0,0,151.55
883,0,3,0,22,0,0,10.5167
89,1,1,0,23,3,2,263
98,1,1,1,23,0,1,63.3583
136,0,2,1,23,0,0,15.0458
351,0,3,1,23,0,0,9.225
394,1,1,0,23,1,0,113.275
399,0,2,1,23,0,0,10.5
474,1,2,0,23,0,0,13.7917
530,0,2,1,23,2,1,11.5
650,1,3,0,23,0,0,7.55
659,0,2,1,23,0,0,13
734,0,2,1,23,0,0,13
735,0,2,1,23,0,0,13
754,0,3,1,23,0,0,7.8958
817,0,3,0,23,0,0,7.925
834,0,3,1,23,0,0,7.8542
297,0,3,1,23.5,0,0,7.2292
90,0,3,1,24,0,0,8.05
119,0,1,1,24,0,1,247.5208
128,1,3,1,24,0,0,7.1417
140,0,1,1,24,0,0,79.2
143,1,3,0,24,1,0,15.85
200,0,2,0,24,0,0,13
211,0,3,1,24,0,0,7.05
235,0,2,1,24,0,0,10.5
248,1,2,0,24,0,2,14.5
294,0,3,0,24,0,0,8.85
295,0,3,1,24,0,0,7.8958
311,1,1,0,24,0,0,83.1583
317,1,2,0,24,1,0,26
342,1,1,0,24,3,2,263
346,1,2,0,24,0,0,13
370,1,1,0,24,0,0,69.3
395,1,3,0,24,0,2,16.7
438,1,2,0,24,2,3,18.75
500,0,3,1,24,0,0,7.7958
515,0,3,1,24,0,0,7.4958
566,0,3,1,24,2,0,24.15
601,1,2,0,24,2,1,27
616,1,2,0,24,1,2,65
642,1,1,0,24,0,0,69.3
656,0,2,1,24,2,0,73.5
711,1,1,0,24,0,0,49.5042
744,0,3,1,24,1,0,16.1
771,0,3,1,24,0,0,9.5
859,1,3,0,24,0,3,19.2583
865,0,2,1,24,0,0,13
677,0,3,1,24.5,0,0,8.05
76,0,3,1,25,0,0,7.65
135,0,2,1,25,0,0,13
247,0,3,0,25,0,0,7.775
268,1,3,1,25,1,0,7.775
272,1,3,1,25,0,0,0
344,0,2,1,25,0,0,13
354,0,3,1,25,1,0,17.8
371,1,1,1,25,1,0,55.4417
443,0,3,1,25,1,0,7.775
485,1,1,1,25,1,0,91.0792
499,0,1,0,25,1,2,151.55
581,1,2,0,25,1,1,30
667,0,2,1,25,0,0,13
686,0,2,1,25,1,2,41.5792
694,0,3,1,25,0,0,7.225
704,0,3,1,25,0,0,7.7417
729,0,2,1,25,1,0,26
730,0,3,0,25,1,0,7.925
785,0,3,1,25,0,0,7.05
786,0,3,1,25,0,0,7.25
795,0,3,1,25,0,0,7.8958
881,1,2,0,25,0,1,26
885,0,3,1,25,0,0,7.05
3,1,3,0,26,0,0,7.925
70,0,3,1,26,2,0,8.6625
74,0,3,1,26,1,0,14.4542
94,0,3,1,26,1,2,20.575
163,0,3,1,26,0,0,7.775
208,1,3,1,26,0,0,18.7875
291,1,1,0,26,0,0,78.85
313,0,2,0,26,1,1,26
316,1,3,0,26,0,0,7.8542
402,0,3,1,26,0,0,8.05
510,1,3,1,26,0,0,56.4958
618,0,3,0,26,1,0,16.1
620,0,2,1,26,0,0,10.5
629,0,3,1,26,0,0,7.8958
705,0,3,1,26,1,0,7.8542
811,0,3,1,26,0,0,7.8875
871,0,3,1,26,0,0,7.8958
890,1,1,1,26,0,0,30
9,1,3,0,27,0,2,11.1333
42,0,2,0,27,1,0,21
147,1,3,1,27,0,0,7.7958
217,1,3,0,27,0,0,7.925
222,0,2,1,27,0,0,13
322,0,3,1,27,0,0,7.8958
378,0,1,1,27,0,2,211.5
552,0,2,1,27,0,0,26
608,1,1,1,27,0,0,30.5
621,0,3,1,27,1,0,14.4542
682,1,1,1,27,0,0,76.7292
718,1,2,0,27,0,0,10.5
725,1,1,1,27,1,0,53.1
805,1,3,1,27,0,0,6.975
822,1,3,1,27,0,0,8.6625
824,1,3,0,27,0,1,12.475
867,1,2,0,27,1,0,13.8583
887,0,2,1,27,0,0,13
24,1,1,1,28,0,0,35.5
35,0,1,1,28,1,0,82.1708
84,0,1,1,28,0,0,47.1
101,0,3,0,28,0,0,7.8958
106,0,3,1,28,0,0,7.8958
170,0,3,1,28,0,0,56.4958
201,0,3,1,28,0,0,9.5
282,0,3,1,28,0,0,7.8542
314,0,3,1,28,0,0,7.8958
343,0,2,1,28,0,0,13
356,0,3,1,28,0,0,9.5
393,0,3,1,28,2,0,7.925
400,1,2,0,28,0,0,12.65
404,0,3,1,28,1,0,15.85
424,0,3,0,28,1,1,14.4
427,1,2,0,28,1,0,26
431,1,1,1,28,0,0,26.55
444,1,2,0,28,0,0,13
509,0,3,1,28,0,0,22.525
563,0,2,1,28,0,0,13.5
636,1,2,0,28,0,0,13
757,0,3,1,28,0,0,7.7958
849,0,2,1,28,0,1,33
875,1,2,0,28,1,0,24
884,0,2,1,28,0,0,10.5
58,0,3,1,28.5,0,0,7.2292
736,0,3,1,28.5,0,0,16.1
54,1,2,0,29,1,0,26
67,1,2,0,29,0,0,10.5
82,1,3,1,29,0,0,9.5
91,0,3,1,29,0,0,8.05
118,0,2,1,29,1,0,21
134,1,2,0,29,1,0,26
232,0,3,1,29,0,0,7.775
243,0,2,1,29,0,0,10.5
252,0,3,0,29,1,1,10.4625
256,1,3,0,29,0,2,15.2458
337,0,1,1,29,1,0,66.6
362,0,2,1,29,1,0,27.7208
423,0,3,1,29,0,0,7.875
456,1,3,1,29,0,0,7.8958
478,0,3,1,29,1,0,7.0458
511,1,3,1,29,0,0,7.75
568,0,3,0,29,0,4,21.075
714,0,3,1,29,0,0,9.4833
731,1,1,0,29,0,0,211.3375
783,0,1,1,29,0,0,30
80,1,3,0,30,0,0,12.475
158,0,3,1,30,0,0,8.05
179,0,2,1,30,0,0,13
214,0,2,1,30,0,0,13
220,0,2,1,30,0,0,10.5
245,0,3,1,30,0,0,7.225
254,0,3,1,30,1,0,16.1
258,1,1,0,30,0,0,86.5
287,1,3,1,30,0,0,9.5
309,0,2,1,30,1,0,24
310,1,1,0,30,0,0,56.9292
323,1,2,0,30,0,0,12.35
366,0,3,1,30,0,0,7.25
419,0,2,1,30,0,0,13
453,0,1,1,30,0,0,27.75
489,0,3,1,30,0,0,8.05
521,1,1,0,30,0,0,93.5
535,0,3,0,30,0,0,8.6625
538,1,1,0,30,0,0,106.425
607,0,3,1,30,0,0,7.8958
727,1,2,0,30,3,0,21
748,1,2,0,30,0,0,13
799,0,3,1,30,0,0,7.2292
800,0,3,0,30,1,1,24.15
843,1,1,0,30,0,0,31
768,0,3,0,30.5,0,0,7.75
815,0,3,1,30.5,0,0,8.05
19,0,3,0,31,1,0,18
216,1,1,0,31,1,0,113.275
319,1,1,0,31,0,2,164.8667
329,1,3,0,31,1,1,20.525
397,0,3,0,31,0,0,7.8542
440,0,2,1,31,0,0,10.5
638,0,2,1,31,1,1,26.25
672,0,1,1,31,1,0,52
674,1,2,1,31,0,0,13
691,1,1,1,31,1,0,57
745,1,3,1,31,0,0,7.925
750,0,3,1,31,0,0,7.75
798,1,3,0,31,0,0,8.6833
802,1,2,0,31,1,1,26.25
806,0,3,1,31,0,0,7.775
818,0,2,1,31,1,1,37.0042
868,0,1,1,31,0,0,50.4958
71,0,2,1,32,0,0,10.5
75,1,3,1,32,0,0,56.4958
191,1,2,0,32,0,0,13
207,0,3,1,32,1,0,15.85
219,1,1,0,32,0,0,76.2917
383,0,3,1,32,0,0,7.925
430,1,3,1,32,0,0,8.05
520,0,3,1,32,0,0,7.8958
544,1,2,1,32,1,0,26
570,1,3,1,32,0,0,7.8542
580,1,3,1,32,0,0,7.925
633,1,1,1,32,0,0,30.5
637,0,3,1,32,0,0,7.925
658,0,3,0,32,1,1,15.5
666,0,2,1,32,2,0,73.5
770,0,3,1,32,0,0,8.3625
839,1,3,1,32,0,0,56.4958
891,0,3,1,32,0,0,7.75
123,0,2,1,32.5,1,0,30.0708
124,1,2,0,32.5,0,0,13
86,1,3,0,33,3,0,15.85
104,0,3,1,33,0,0,8.6542
131,0,3,1,33,0,0,7.8958
240,0,2,1,33,0,0,12.275
286,0,3,1,33,0,0,8.6625
413,1,1,0,33,1,0,90
473,1,2,0,33,1,2,27.75
507,1,2,0,33,0,2,26
549,0,3,1,33,1,1,20.525
720,0,3,1,33,0,0,7.775
753,0,3,1,33,0,0,9.5
760,1,1,0,33,0,0,86.5
810,1,1,0,33,1,0,53.1
873,0,1,1,33,0,0,5
882,0,3,1,33,0,0,7.8958
22,1,2,1,34,0,0,13
99,1,2,0,34,0,1,23
100,0,2,1,34,1,0,26
203,0,3,1,34,0,0,6.4958
406,0,2,1,34,1,0,21
417,1,2,0,34,1,1,32.5
448,1,1,1,34,0,0,26.55
462,0,3,1,34,0,0,8.05
477,0,2,1,34,1,0,21
517,1,2,0,34,0,0,10.5
577,1,2,0,34,0,0,13
617,0,3,1,34,1,1,14.4
723,0,2,1,34,0,0,13
759,0,3,1,34,0,0,8.05
801,0,2,1,34,0,0,13
844,0,3,1,34.5,0,0,6.4375
4,1,1,0,35,1,0,53.1
5,0,3,1,35,0,0,8.05
21,0,2,1,35,0,0,26
212,1,2,0,35,0,0,21
231,1,1,0,35,1,0,83.475
259,1,1,0,35,0,0,512.3292
270,1,1,0,35,0,0,135.6333
280,1,3,0,35,1,1,20.25
364,0,3,1,35,0,0,7.05
384,1,1,0,35,1,0,52
487,1,1,0,35,1,0,90
591,0,3,1,35,0,0,7.125
605,1,1,1,35,0,0,26.55
615,0,3,1,35,0,0,8.05
702,1,1,1,35,0,0,26.2875
738,1,1,1,35,0,0,512.3292
813,0,2,1,35,0,0,10.5
848,0,3,1,35,0,0,7.8958
180,0,3,1,36,0,0,0
190,0,3,1,36,0,0,7.8958
266,0,2,1,36,0,0,10.5
293,0,2,1,36,0,0,12.875
326,1,1,0,36,0,0,135.6333
328,1,2,0,36,0,0,13
345,0,2,1,36,0,0,13
388,1,2,0,36,0,0,13
391,1,1,1,36,1,2,120
451,0,2,1,36,1,2,27.75
513,1,1,1,36,0,0,26.2875
519,1,2,0,36,1,0,26
541,1,1,0,36,0,2,71
560,1,3,0,36,1,0,17.4
573,1,1,1,36,0,0,26.3875
584,0,1,1,36,0,0,40.125
596,0,3,1,36,1,1,24.15
606,0,3,1,36,1,0,15.55
664,0,3,1,36,0,0,7.4958
680,1,1,1,36,0,1,512.3292
742,0,1,1,36,1,0,78.85
764,1,1,0,36,1,2,120
149,0,2,1,36.5,0,2,26
105,0,3,1,37,2,0,7.925
138,0,1,1,37,1,0,53.1
249,1,1,1,37,1,1,52.5542
274,0,1,1,37,0,1,29.7
504,0,3,0,37,0,0,9.5875
595,0,2,1,37,1,0,26
2,1,1,0,38,1,0,71.2833
26,1,3,0,38,1,5,31.3875
62,1,1,0,38,0,0,80
109,0,3,1,38,0,0,7.8958
225,1,1,1,38,1,0,90
333,0,1,1,38,0,1,153.4625
358,0,2,0,38,0,0,13
466,0,3,1,38,0,0,7.05
472,0,3,1,38,0,0,8.6625
717,1,1,0,38,0,0,227.525
823,0,1,1,38,0,0,0
14,0,3,1,39,1,5,31.275
401,1,3,1,39,0,0,7.925
529,0,3,1,39,0,0,7.925
559,1,1,0,39,1,1,79.65
578,1,1,0,39,1,0,55.9
582,1,1,0,39,1,1,110.8833
611,0,3,0,39,1,5,31.275
706,0,2,1,39,0,0,26
796,0,2,1,39,0,0,13
807,0,1,1,39,0,0,0
809,0,2,1,39,0,0,13
812,0,3,1,39,0,0,24.15
836,1,1,0,39,1,1,83.1583
886,0,3,0,39,0,5,29.125
31,0,1,1,40,0,0,27.7208
41,0,3,0,40,1,0,9.475
162,1,2,0,40,0,0,15.75
189,0,3,1,40,1,1,15.5
210,1,1,1,40,0,0,31
264,0,1,1,40,0,0,0
320,1,1,0,40,1,1,134.5
347,1,2,0,40,0,0,13
361,0,3,1,40,1,4,27.9
562,0,3,1,40,0,0,7.8958
610,1,1,0,40,0,0,153.4625
662,0,3,1,40,0,0,7.225
671,1,2,0,40,1,1,39
154,0,3,1,40.5,0,2,14.5
526,0,3,1,40.5,0,0,7.75
255,0,3,0,41,0,2,20.2125
273,1,2,0,41,0,1,19.5
338,1,1,0,41,0,0,134.5
639,0,3,0,41,0,5,39.6875
762,0,3,1,41,0,0,7.125
861,0,3,1,41,2,0,14.1083
36,0,1,1,42,1,0,52
150,0,2,1,42,0,0,13
198,0,3,1,42,0,1,8.4042
218,0,2,1,42,1,0,27
289,1,2,1,42,0,0,13
350,0,3,1,42,0,0,8.6625
381,1,1,0,42,0,0,227.525
433,1,2,0,42,1,0,26
622,1,1,1,42,1,0,52.5542
700,0,3,1,42,0,0,7.65
708,1,1,1,42,0,0,26.2875
846,0,3,1,42,0,0,7.55
866,1,2,0,42,0,0,13
315,0,2,1,43,1,1,26.25
669,0,3,1,43,0,0,8.05
679,0,3,0,43,1,6,46.9
780,1,1,0,43,0,1,211.3375
819,0,3,1,43,0,0,6.45
161,0,3,1,44,0,1,16.1
195,1,1,0,44,0,0,27.7208
237,0,2,1,44,1,0,26
246,0,1,1,44,2,0,90
415,1,3,1,44,0,0,7.925
524,1,1,0,44,0,1,57.9792
604,0,3,1,44,0,0,8.05
697,0,3,1,44,0,0,8.05
855,0,2,0,44,1,0,26
63,0,1,1,45,1,0,83.475
130,0,3,1,45,0,0,6.975
168,0,3,0,45,1,4,27.9
188,1,1,1,45,0,0,26.55
277,0,3,0,45,0,0,7.75
339,1,3,1,45,0,0,8.05
340,0,1,1,45,0,0,35.5
363,0,3,0,45,0,1,14.4542
441,1,2,0,45,1,1,26.25
537,0,1,1,45,0,0,26.55
707,1,2,0,45,0,0,13.5
857,1,1,0,45,1,1,164.8667
204,0,3,1,45.5,0,0,7.225
332,0,1,1,45.5,0,0,28.5
93,0,1,1,46,1,0,61.175
398,0,2,1,46,0,0,26
790,0,1,1,46,0,0,79.2
111,0,1,1,47,0,0,52
133,0,3,0,47,1,0,14.5
463,0,1,1,47,0,0,38.5
516,0,1,1,47,0,0,34.0208
587,0,2,1,47,0,0,15
593,0,3,1,47,0,0,7.25
663,0,1,1,47,0,0,25.5875
872,1,1,0,47,1,1,52.5542
874,0,3,1,47,0,0,9
461,1,1,1,48,0,0,26.55
464,0,2,1,48,0,0,13
557,1,1,0,48,1,0,39.6
646,1,1,1,48,1,0,76.7292
713,1,1,1,48,1,0,52
737,0,3,0,48,1,3,34.375
755,1,2,0,48,1,2,65
772,0,3,1,48,0,0,7.8542
863,1,1,0,48,0,0,25.9292
53,1,1,0,49,1,0,76.7292
454,1,1,1,49,1,0,89.1042
598,0,3,1,49,0,0,0
600,1,1,1,49,1,0,56.9292
699,0,1,1,49,1,1,110.8833
797,1,1,0,49,0,0,25.9292
178,0,1,0,50,0,0,28.7125
260,1,2,0,50,0,1,26
300,1,1,0,50,0,1,247.5208
435,0,1,1,50,1,0,55.9
459,1,2,0,50,0,0,10.5
483,0,3,1,50,0,0,8.05
527,1,2,0,50,0,0,10.5
545,0,1,1,50,1,0,106.425
661,1,1,1,50,2,0,133.65
724,0,2,1,50,0,0,13
151,0,2,1,51,0,0,12.525
156,0,1,1,51,0,1,61.3792
223,0,3,1,51,0,0,8.05
407,0,3,1,51,0,0,7.75
632,0,3,1,51,0,0,7.0542
766,1,1,0,51,1,0,77.9583
858,1,1,1,51,0,0,26.55
263,0,1,1,52,1,1,79.65
450,1,1,1,52,0,0,30.5
592,1,1,0,52,1,0,78.2667
696,0,2,1,52,0,0,13.5
715,0,2,1,52,0,0,13
821,1,1,0,52,1,1,93.5
572,1,1,0,53,2,0,51.4792
7,0,1,1,54,0,0,51.8625
125,0,1,1,54,0,1,77.2875
250,0,2,1,54,1,0,26
318,0,2,1,54,0,0,14
497,1,1,0,54,1,0,78.2667
514,1,1,0,54,1,0,59.4
583,0,2,1,54,0,0,26
775,1,2,0,54,1,3,23
16,1,2,0,55,0,0,16
493,0,1,1,55,0,0,30.5
153,0,3,1,55.5,0,0,8.05
175,0,1,1,56,0,0,30.6958
468,0,1,1,56,0,0,26.55
648,1,1,1,56,0,0,35.5
880,1,1,0,56,0,1,83.1583
627,0,2,1,57,0,0,12.35
773,0,2,0,57,0,0,10.5
12,1,1,0,58,0,0,26.55
196,1,1,0,58,0,0,146.5208
269,1,1,0,58,0,1,153.4625
488,0,1,1,58,0,0,29.7
660,0,1,1,58,0,2,113.275
95,0,3,1,59,0,0,7.25
233,0,2,1,59,0,0,13.5
367,1,1,0,60,1,0,75.25
588,1,1,1,60,1,1,79.2
685,0,2,1,60,1,1,39
695,0,1,1,60,0,0,26.55
171,0,1,1,61,0,0,33.5
327,0,3,1,61,0,0,6.2375
626,0,1,1,61,0,0,32.3208
253,0,1,1,62,0,0,26.55
556,0,1,1,62,0,0,26.55
571,1,2,1,62,0,0,10.5
830,1,1,0,62,0,0,80
276,1,1,0,63,1,0,77.9583
484,1,3,0,63,0,0,9.5875
439,0,1,1,64,1,4,263
546,0,1,1,64,0,0,26
55,0,1,1,65,0,1,61.9792
281,0,3,1,65,0,0,7.75
457,0,1,1,65,0,0,26.55
34,0,2,1,66,0,0,10.5
673,0,2,1,70,0,0,10.5
746,0,1,1,70,1,1,71
117,0,3,1,70.5,0,0,7.75
97,0,1,1,71,0,0,34.6542
494,0,1,1,71,0,0,49.5042
852,0,3,1,74,0,0,7.775
631,1,1,1,80,0,0,30
